date,cryptocurrency_feature
2022-01-01,0.6342903051075801
2022-01-02,0.9850235030830347
2022-01-03,0.6159156476751209
2022-01-04,0.9412817506638598
2022-01-05,0.7320508502255395
2022-01-06,0.9633497632140922
2022-01-07,0.002198071538329738
2022-01-08,0.09821927287426147
2022-01-09,0.4604555272340821
2022-01-10,0.7168778120140681
2022-01-11,0.6063853303771561
2022-01-12,0.9370333826733301
2022-01-13,0.17289299808070924
2022-01-14,0.14414479369825894
2022-01-15,0.0861821377034242
2022-01-16,0.007690764937954175
2022-01-17,0.32337808790482814
2022-01-18,0.4830063584217077
2022-01-19,0.7977944904738348
2022-01-20,0.7901621352080791
2022-01-21,0.2028945467326273
2022-01-22,0.1262933273585961
2022-01-23,0.6361431825215393
2022-01-24,0.2569330536591299
2022-01-25,0.44813777744492234
2022-01-26,0.20468798321657977
2022-01-27,0.5657942850703882
2022-01-28,0.45662608095752766
2022-01-29,0.33937834868058303
2022-01-30,0.676698574929479
2022-01-31,0.9117540313375486
2022-02-01,0.32709554680894315
2022-02-02,0.1509742942511828
2022-02-03,0.4218213538709219
2022-02-04,0.2876069478235228
2022-02-05,0.12292044053300322
2022-02-06,0.20472279718894804
2022-02-07,0.37669667792555883
2022-02-08,0.28451098141629916
2022-02-09,0.6078423876669711
2022-02-10,0.9954678034066504
2022-02-11,0.6147231583612
2022-02-12,0.4043683794673998
2022-02-13,0.5206044462106554
2022-02-14,0.9173192577193572
2022-02-15,0.905515139490817
2022-02-16,0.5904987597118232
2022-02-17,0.8353536420625655
2022-02-18,0.10919941548096312
2022-02-19,0.8094655985100775
2022-02-20,0.47749903770584257
2022-02-21,0.9235686795245649
2022-02-22,0.8291298417439397
2022-02-23,0.8941063321483835
2022-02-24,0.006032765292339204
2022-02-25,0.5489484889621213
2022-02-26,0.9643994836831314
2022-02-27,0.26620504486070684
2022-02-28,0.6390386784672893
2022-03-01,0.5878957342013172
2022-03-02,0.9539513463038013
2022-03-03,0.6318838467606761
2022-03-04,0.18231380055633895
2022-03-05,0.39168642354120164
2022-03-06,0.48592312133017024
2022-03-07,0.5247736666828492
2022-03-08,0.3601358167739849
2022-03-09,0.4805500282645122
2022-03-10,0.5644169283391727
2022-03-11,0.6815528000359212
2022-03-12,0.14136149697607026
2022-03-13,0.29562531472511844
2022-03-14,0.822780325677371
2022-03-15,0.1259425595288015
2022-03-16,0.5884025101623055
2022-03-17,0.8297796204923894
2022-03-18,0.9819885494108125
2022-03-19,0.4555763057150337
2022-03-20,0.8440194119877157
2022-03-21,0.8440305409407499
2022-03-22,0.36420171567532
2022-03-23,0.157119328667349
2022-03-24,0.6238501121560837
2022-03-25,0.7938322762998166
2022-03-26,0.12079089742527038
2022-03-27,0.49726548034601725
2022-03-28,0.8787377701965176
2022-03-29,0.5433628942655084
2022-03-30,0.7402085126273704
2022-03-31,0.6290410983164297
2022-04-01,0.7967721544607399
2022-04-02,0.38967749768241333
2022-04-03,0.6995802330225418
2022-04-04,0.8133276474493523
2022-04-05,0.2818425839573211
2022-04-06,0.5319933424272013
2022-04-07,0.7159557293785052
2022-04-08,0.9366946625932487
2022-04-09,0.29227508969508686
2022-04-10,0.9887393466279178
2022-04-11,0.3432508229747838
2022-04-12,0.12995875581338412
2022-04-13,0.3138473380413015
2022-04-14,0.027567359173046313
2022-04-15,0.5401586509447281
2022-04-16,0.7522854916202266
2022-04-17,0.208877148063644
2022-04-18,0.9295293338802307
2022-04-19,0.5491285916272788
2022-04-20,0.7611088623355599
2022-04-21,0.4298121540573808
2022-04-22,0.43836956715499975
2022-04-23,0.7955340679493528
2022-04-24,0.6192540168787956
2022-04-25,0.44436182873224883
2022-04-26,0.055578777268381785
2022-04-27,0.6167895514581317
2022-04-28,0.20856899258802364
2022-04-29,0.5458455070447601
2022-04-30,0.08620310190259406
2022-05-01,0.8796897564346796
2022-05-02,0.8422809254730051
2022-05-03,0.7891969284464889
2022-05-04,0.10438933778609905
2022-05-05,0.8859214682200108
2022-05-06,0.9873969130813964
2022-05-07,0.9536887734446674
2022-05-08,0.8161606979067032
2022-05-09,0.6416047537594205
2022-05-10,0.906387296651463
2022-05-11,0.8744534608135383
2022-05-12,0.9880415219210033
2022-05-13,0.07254706511074138
2022-05-14,0.6127114866008826
2022-05-15,0.6837011551495701
2022-05-16,0.546921144628838
2022-05-17,0.6137739140471571
2022-05-18,0.9982649748511199
2022-05-19,0.6545577087214124
2022-05-20,0.728862180351005
2022-05-21,0.7496137567823994
2022-05-22,0.7370385950549767
2022-05-23,0.059782173764446056
2022-05-24,0.7381666208965468
2022-05-25,0.7435454492442775
2022-05-26,0.023873733870536262
2022-05-27,0.5515106624974471
2022-05-28,0.24667673162971004
2022-05-29,0.4430797842923143
2022-05-30,0.7582660351475542
2022-05-31,0.1507299960913947
2022-06-01,0.9404767207764692
2022-06-02,0.6671743488774581
2022-06-03,0.8108792170456085
2022-06-04,0.9095301399938537
2022-06-05,0.31436267254378747
2022-06-06,0.993789581015665
2022-06-07,0.7096400177480557
2022-06-08,0.44079650463742515
2022-06-09,0.8598674678705936
2022-06-10,0.6332943907780928
2022-06-11,0.5329401790784153
2022-06-12,0.5309557742362994
2022-06-13,0.6530211022024732
2022-06-14,0.3685699484528365
2022-06-15,0.4623347156211767
2022-06-16,0.3488451704795754
2022-06-17,0.8697670642411145
2022-06-18,0.1325391440678192
2022-06-19,0.43508528100575417
2022-06-20,0.34325512013302817
2022-06-21,0.3525955763495964
2022-06-22,0.9427985768864464
2022-06-23,0.23302794160457996
2022-06-24,0.7754056592971851
2022-06-25,0.9501875243701818
2022-06-26,0.9468254955623678
2022-06-27,0.6074285182176904
2022-06-28,0.9659479789530705
2022-06-29,0.9941817047131082
2022-06-30,0.28831768083431897
2022-07-01,0.20030469873886692
2022-07-02,0.16928277456119012
2022-07-03,0.5095880157021334
2022-07-04,0.37032851996401495
2022-07-05,0.6938607886939845
2022-07-06,0.1858576178959237
2022-07-07,0.08825205613234555
2022-07-08,0.7570252585284818
2022-07-09,0.8630999582885339
2022-07-10,0.5335292598363981
2022-07-11,0.6800632913669763
2022-07-12,0.4296042147303657
2022-07-13,0.3200620793571287
2022-07-14,0.1994465179584498
2022-07-15,0.10267208199686051
2022-07-16,0.5327311532797443
2022-07-17,0.2244215407389052
2022-07-18,0.6763142246838405
2022-07-19,0.15387672297346888
